uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
P35176	YDR304C	3.82634E-07	1.01472E-06	1.38678E-06	9.10554E-07	9.46815E-07	1.57131E-06	8.3754E-07	1.29195E-06	3.57291E-07	1.27563E-06	4.72631E-07	1.56956E-06
P04802	YLL018C	5.41184E-06	5.87692E-06	6.1306E-06	5.27799E-06	6.00321E-06	6.52698E-06	6.28155E-06	6.6825E-06	7.3062E-06	9.17046E-06	8.52383E-06	9.46439E-06
P09624	YFL018C	7.73724E-06	8.62512E-06	6.42656E-06	7.13133E-06	9.38757E-06	0.000008058	0.000008019	7.8408E-06	6.5934E-06	1.04049E-05	1.37557E-05	1.19921E-05
P06634	YOR204W	3.59803E-06	2.97228E-06	2.97228E-06	2.6672E-06	2.25221E-06	2.09508E-06	2.624E-06	3.0695E-06	2.77101E-06	4.75571E-06	4.17961E-06	4.19137E-06
P20447	YGL078C	5.62324E-07	5.24272E-07	7.1876E-07	3.58581E-07	2.67123E-07	3.17485E-07	7.97445E-07	7.35075E-07	8.06355E-07	1.01698E-06	8.75897E-07	4.42651E-07
P24784	YPL119C	4.39712E-07	1.4502E-07	3.05262E-07	7.89684E-07	5.88234E-07	8.34003E-07	3.39471E-07	2.03594E-07	1.44788E-07	3.92096E-07	2.94513E-07	2.47485E-07
0	0	5.66552E-07	3.78406E-07	6.51112E-07	1.20064E-07	1.24899E-07	1.48267E-07	1.05584E-06	1.16276E-06	6.9498E-07	1.68125E-07	4.99085E-07	1.18746E-06
P39976	YEL071W	2.6425E-06	2.71015E-06	2.01676E-06	2.21998E-06	2.53424E-06	1.56728E-06	2.0493E-06	2.69082E-06	2.24087E-06	4.35009E-06	8.40626E-06	5.99607E-06
P46681	YDL178W	8.456E-07	7.94864E-07	8.2446E-07	7.13133E-07	1.03545E-06	7.21191E-07	9.1773E-07	1.16276E-06	9.4446E-07	9.99345E-07	1.04637E-06	1.22861E-06
P31116	YJR139C	1.38678E-05	1.47134E-05	1.17961E-05	1.01934E-05	1.16438E-05	7.17162E-06	1.17167E-05	1.2875E-05	1.4657E-05	1.99869E-05	2.09275E-05	2.02808E-05
P39954	YER043C	8.28688E-06	8.11776E-06	8.11776E-06	4.75422E-06	5.56002E-06	6.97017E-06	5.7915E-06	6.0588E-06	7.35075E-06	1.06989E-05	9.22925E-06	8.58261E-06
P36008	YKL081W	3.82211E-06	2.96806E-06	3.39931E-06	3.5012E-06	3.95245E-06	3.29169E-06	3.7823E-06	3.26106E-06	3.56846E-06	5.32004E-06	5.14369E-06	5.44349E-06
P29547	YPL048W	2.82853E-06	2.64673E-06	4.14767E-06	3.75503E-06	3.90813E-06	3.92828E-06	2.93585E-06	2.94476E-06	2.63736E-06	6.58392E-06	6.87785E-06	3.92684E-06
Q01217	YER069W	4.56624E-06	3.79252E-06	3.65722E-06	2.86865E-06	3.25946E-06	3.0701E-06	3.80012E-06	3.45708E-06	3.7823E-06	2.6512E-06	3.12148E-06	3.38014E-06
P14126	YOR063W	9.34388E-06	8.75196E-06	1.17538E-05	7.05075E-06	8.17887E-06	7.33278E-06	1.30977E-05	9.66735E-06	1.06029E-05	1.09928E-05	1.27563E-05	1.3403E-05
Q12363	YOR230W	7.77952E-06	9.25932E-06	7.8218E-06	8.70264E-06	1.02337E-05	8.54148E-06	6.99435E-06	7.70715E-06	9.66735E-06	5.26126E-06	6.34878E-06	4.63226E-06
P16140	YBR127C	6.04604E-06	5.96148E-06	4.90448E-06	4.8348E-06	5.03625E-06	4.75422E-06	5.7024E-06	5.4351E-06	0.000005346	8.6414E-06	7.4657E-06	9.4056E-06
P12709	YBR196C	3.36549E-06	3.15409E-06	4.20686E-06	3.89604E-06	4.31103E-06	4.8348E-06	0.000004455	3.51054E-06	4.08078E-06	8.17112E-06	7.81841E-06	9.87588E-06
